disease,diet_1,diet_2,diet_3,diet_4,diet_5,disease_code
dermatitis due to sun exposure,antioxidant-rich diet,vitamin e-rich foods,omega-3-rich fish,vitamin c-rich foods,beta-carotene foods,175
anemia due to chronic kidney disease,iron-rich foods,folate-rich foods,vitamin b12 foods,low-phosphorus diet,lean proteins,39
injury to internal organ,high-protein diet,iron-rich foods,vitamin c-rich foods,anti-inflammatory diet,adequate hydration,373
scleritis,anti-inflammatory diet,omega-3-rich fish,vitamin a-rich foods,antioxidant-rich foods,adequate hydration,636
pterygium,antioxidant-rich diet,vitamin a-rich foods,omega-3-rich fish,vitamin c-rich foods,lutein-rich foods,607
fungal infection of the skin,antifungal diet,low-sugar diet,probiotics,garlic,coconut oil,277
insulin overdose,rapid-acting carbohydrates,glucose-rich foods,adequate hydration,small frequent meals,balanced carbohydrate diet,386
syndrome of inappropriate secretion of adh (siadh),fluid restriction,high-sodium foods if needed,electrolyte balance,avoid excess water,small frequent meals,685
foreign body in the ear,soft bland diet,adequate hydration,vitamin c-rich foods,zinc-rich foods,balanced diet,253
premenstrual tension syndrome,low-sodium diet,magnesium-rich foods,calcium-rich foods,b6-rich foods,avoid caffeine,590
orbital cellulitis,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,high-protein diet,adequate hydration,513
injury to the leg,anti-inflammatory diet,protein-rich diet,iron-rich foods,vitamin c-rich foods,adequate hydration,381
hepatic encephalopathy,low-ammonia diet,branched-chain amino acids,small frequent meals,vegetable protein preferred,adequate hydration,319
bone cancer,high-calcium diet,vitamin d-rich foods,high-protein diet,antioxidant-rich foods,anti-inflammatory diet,82
syringomyelia,anti-inflammatory diet,omega-3-rich fish,antioxidant-rich foods,adequate hydration,balanced diet,687
pulmonary fibrosis,anti-inflammatory diet,omega-3-rich fish,high-protein diet,antioxidant-rich foods,adequate hydration,611
mitral valve disease,low-sodium diet,heart-healthy diet,omega-3-rich fish,fruits and vegetables,avoid alcohol,451
parkinson disease,mediterranean diet,high-fiber diet,antioxidant-rich foods,omega-3-rich fish,adequate hydration,534
gout,low-purine diet,adequate hydration,avoid alcohol,cherry-rich diet,avoid organ meats,294
otitis media,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,omega-3-rich fish,adequate hydration,521
drug abuse (opioids),high-fiber diet,nutrient-dense foods,b-vitamin-rich foods,protein-rich diet,adequate hydration,203
myelodysplastic syndrome,iron-rich foods,folate-rich foods,vitamin b12 foods,high-protein diet,antioxidant-rich foods,464
fracture of the shoulder,calcium-rich foods,vitamin d-rich foods,protein-rich diet,vitamin c-rich foods,adequate hydration,271
acute kidney injury,low-potassium diet,low-phosphorus diet,restricted protein,low-sodium foods,fluid restriction as directed,15
threatened pregnancy,folate-rich foods,iron-rich foods,calcium-rich foods,protein-rich diet,adequate hydration,700
intracranial abscess,high-protein diet,immune-boosting foods,antioxidant-rich foods,adequate hydration,vitamin c-rich foods,394
gum disease,vitamin c-rich foods,calcium-rich foods,vitamin d-rich foods,anti-inflammatory diet,low-sugar diet,298
open wound from surgical incision,high-protein diet,vitamin c-rich foods,zinc-rich foods,adequate hydration,anti-inflammatory diet,488
gastrointestinal hemorrhage,clear liquid diet initially,soft diet,iron-rich foods,avoid alcohol,adequate hydration,286
seborrheic dermatitis,low-sugar diet,anti-inflammatory diet,omega-3-rich fish,probiotics,zinc-rich foods,642
drug abuse (methamphetamine),high-calorie diet,nutrient-dense foods,b-vitamin-rich foods,protein-rich diet,adequate hydration,202
torticollis,anti-inflammatory diet,magnesium-rich foods,omega-3-rich fish,adequate hydration,vitamin d-rich foods,713
poisoning due to antihypertensives,adequate hydration,electrolyte-rich foods,low-sodium diet,small frequent meals,avoid alcohol,570
tension headache,adequate hydration,avoid caffeine withdrawal,magnesium-rich foods,regular meal schedule,low-sodium diet,693
alcohol intoxication,electrolyte-rich foods,b-vitamin-rich foods,adequate hydration,bland diet,avoid alcohol,26
food allergy,elimination diet,identify trigger foods,nutritionally complete alternatives,adequate hydration,dietitian guidance,252
labyrinthitis,low-sodium diet,adequate hydration,anti-inflammatory diet,avoid caffeine,magnesium-rich foods,412
impulse control disorder,balanced diet,omega-3-rich foods,tryptophan-rich foods,avoid excess sugar,b-vitamin-rich foods,365
stenosis of the tear duct,adequate hydration,vitamin a-rich foods,anti-inflammatory diet,zinc-rich foods,antioxidant-rich foods,673
abscess of nose,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,2
omphalitis,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,adequate hydration,protein-rich diet,485
bell palsy,anti-inflammatory diet,vitamin b12 foods,omega-3-rich fish,antioxidant-rich foods,adequate hydration,70
conjunctivitis due to allergy,anti-inflammatory diet,omega-3-rich foods,vitamin c-rich foods,quercetin-rich foods,adequate hydration,145
adrenal cancer,high-calorie diet,high-protein diet,antioxidant-rich foods,small frequent meals,adequate hydration,24
thyroid disease,selenium-rich foods,iodine-moderate diet,anti-inflammatory diet,omega-3-rich fish,zinc-rich foods,704
pharyngitis,soft bland diet,warm soups,honey and lemon,adequate hydration,vitamin c-rich foods,552
chronic rheumatic fever,anti-inflammatory diet,low-sodium diet,omega-3-rich fish,fruits and vegetables,adequate hydration,129
hypocalcemia,calcium-rich foods,vitamin d-rich foods,magnesium-rich foods,balanced diet,adequate hydration,350
macular degeneration,lutein-rich foods,zeaxanthin-rich foods,omega-3-rich fish,antioxidant-rich diet,leafy green vegetables,433
cold sore,lysine-rich foods,avoid arginine-rich foods,vitamin c-rich foods,zinc-rich foods,immune-boosting foods,134
premature ventricular contractions (pvcs),magnesium-rich foods,potassium-rich foods,omega-3-rich fish,avoid caffeine,low-sodium diet,589
testicular cancer,antioxidant-rich diet,high-protein diet,low-fat diet,selenium-rich foods,adequate hydration,694
hydrocephalus,low-sodium diet,anti-inflammatory diet,adequate hydration,antioxidant-rich foods,balanced diet,335
breast cancer,plant-based diet,cruciferous vegetables,low-fat dairy,omega-3-rich fish,avoid alcohol,87
anemia due to malignancy,iron-rich foods,folate-rich foods,vitamin b12 foods,high-protein diet,vitamin c-rich foods,40
esophageal varices,low-sodium diet,soft diet,small frequent meals,avoid alcohol,avoid spicy foods,234
endometrial cancer,low-fat diet,high-fiber diet,cruciferous vegetables,avoid excess red meat,antioxidant-rich foods,222
cystic fibrosis,high-calorie diet,high-fat diet,high-protein diet,fat-soluble vitamins,adequate hydration,163
intertrigo (skin condition),low-sugar diet,anti-inflammatory diet,probiotics,zinc-rich foods,adequate hydration,388
parathyroid adenoma,low-calcium diet if hypercalcemia,adequate hydration,high-fiber diet,balanced diet,vitamin d monitoring,533
glucocorticoid deficiency,small frequent meals,adequate sodium,high-calorie diet,electrolyte-rich foods,complex carbohydrates,291
temporomandibular joint disorder,soft diet,avoid hard chewy foods,anti-inflammatory foods,magnesium-rich foods,adequate hydration,691
wilson disease,low-copper diet,avoid shellfish,avoid nuts,high-zinc foods,adequate hydration,770
vesicoureteral reflux,adequate hydration,cranberry products,probiotic-rich foods,vitamin c-rich foods,low-sodium diet,752
vitamin a deficiency,vitamin a-rich foods,beta-carotene foods,sweet potatoes,leafy green vegetables,fortified foods,756
fracture of the rib,calcium-rich foods,vitamin d-rich foods,high-protein diet,anti-inflammatory foods,adequate hydration,270
ependymoma,anti-inflammatory diet,omega-3-rich fish,antioxidant-rich foods,high-protein diet,adequate hydration,227
hepatitis due to a toxin,liver-healthy diet,antioxidant-rich foods,avoid alcohol,low-fat diet,adequate hydration,320
vaginal cyst,anti-inflammatory diet,probiotic-rich foods,vitamin c-rich foods,adequate hydration,low-sugar diet,742
open wound of the shoulder,protein-rich diet,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,507
chronic knee pain,anti-inflammatory diet,omega-3-rich fish,vitamin d-rich foods,collagen-boosting foods,weight management diet,124
hypergammaglobulinemia,anti-inflammatory diet,adequate hydration,antioxidant-rich foods,balanced diet,lean proteins,340
alcohol abuse,high-thiamine foods,b-vitamin-rich foods,liver-supporting foods,protein-rich diet,avoid alcohol,25
pituitary disorder,balanced diet,adequate protein,calcium-rich foods,vitamin d-rich foods,regulate calorie intake,558
kidney stone,adequate hydration,low-sodium diet,low-oxalate diet,calcium from foods,avoid vitamin c supplements excess,410
cat scratch disease,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,100
chronic glaucoma,antioxidant-rich diet,nitrate-rich vegetables,omega-3-rich fish,avoid caffeine,adequate hydration,121
retinal detachment,antioxidant-rich diet,omega-3-rich fish,vitamin a-rich foods,lutein-rich foods,adequate hydration,621
aplastic anemia,iron-rich foods,folate-rich foods,vitamin b12 foods,high-protein diet,antioxidant-rich foods,48
overflow incontinence,adequate hydration,high-fiber diet,avoid bladder irritants,magnesium-rich foods,low-acid diet,526
hemolytic anemia,folate-rich foods,iron-rich foods (if appropriate),antioxidant-rich foods,vitamin b12 foods,adequate hydration,316
lateral epicondylitis (tennis elbow),anti-inflammatory diet,omega-3-rich fish,vitamin c-rich foods,collagen-boosting foods,adequate hydration,415
open wound of the eye,vitamin a-rich foods,zinc-rich foods,vitamin c-rich foods,adequate hydration,protein-rich diet,495
diabetic kidney disease,low-protein diet,low-sodium diet,low-potassium diet,low-phosphorus diet,adequate hydration,181
nose disorder,anti-inflammatory diet,vitamin c-rich foods,adequate hydration,zinc-rich foods,omega-3-rich fish,481
drug withdrawal,nutrient-dense diet,b-vitamin-rich foods,magnesium-rich foods,high-protein diet,adequate hydration,206
dental caries,low-sugar diet,calcium-rich foods,vitamin d-rich foods,phosphorus-rich foods,fluoride-containing foods,173
hypercholesterolemia,low-saturated fat diet,high-fiber diet,omega-3-rich fish,plant sterols,oats and legumes,338
fracture of the patella,calcium-rich foods,vitamin d-rich foods,protein-rich diet,anti-inflammatory diet,adequate hydration,268
kidney failure,low-protein diet,low-potassium diet,low-phosphorus diet,low-sodium diet,fluid restriction as directed,409
fracture of the neck,calcium-rich foods,vitamin d-rich foods,protein-rich diet,soft diet if needed,adequate hydration,267
muscle spasm,magnesium-rich foods,potassium-rich foods,adequate hydration,calcium-rich foods,electrolyte-rich foods,461
hemophilia,iron-rich foods,vitamin k-consistent diet,calcium-rich foods,adequate hydration,balanced diet,317
hyperosmotic hyperketotic state,adequate hydration,low-glycemic diet,electrolyte-rich foods,small frequent meals,avoid excess sugar,346
peritonsillar abscess,soft cool diet,adequate hydration,vitamin c-rich foods,zinc-rich foods,immune-boosting foods,548
gastroparesis,small frequent meals,low-fat diet,low-fiber diet,liquid diet if needed,soft foods,287
itching of unknown cause,anti-inflammatory diet,omega-3-rich foods,adequate hydration,avoid histamine foods,probiotics,402
polycythemia vera,adequate hydration,anti-inflammatory diet,low-iron diet if needed,antioxidant-rich foods,balanced diet,579
thrombocytopenia,folate-rich foods,vitamin b12 foods,iron-rich foods,vitamin c-rich foods,papaya leaf extract,701
head and neck cancer,soft diet,high-protein diet,high-calorie diet,antioxidant-rich foods,adequate hydration,302
pseudohypoparathyroidism,calcium-rich foods,vitamin d-rich foods,phosphorus-moderated diet,magnesium-rich foods,balanced diet,602
goiter,iodine-rich foods,selenium-rich foods,avoid raw goitrogens,zinc-rich foods,adequate hydration,292
urge incontinence,adequate hydration,avoid caffeine,high-fiber diet,low-acid foods,magnesium-rich foods,734
edward syndrome,high-calorie nutrition,nutrient-dense foods,small frequent feeds,adequate hydration,protein-rich diet,217
open wound of the arm,high-protein diet,vitamin c-rich foods,zinc-rich foods,iron-rich foods,adequate hydration,490
mittelschmerz,anti-inflammatory diet,omega-3-rich fish,magnesium-rich foods,adequate hydration,balanced diet,452
anemia of chronic disease,iron-rich foods,vitamin c-rich foods,folate-rich foods,vitamin b12 foods,anti-inflammatory diet,41
dysthymic disorder,omega-3-rich foods,b-vitamin-rich foods,folate-rich foods,tryptophan-rich foods,avoid alcohol,210
hypertensive heart disease,low-sodium diet,dash diet,omega-3-rich fish,fruits and vegetables,avoid alcohol,348
drug abuse (barbiturates),b-vitamin-rich foods,high-protein diet,antioxidant-rich foods,electrolyte-rich foods,adequate hydration,200
polycystic ovarian syndrome (pcos),low-glycemic diet,high-fiber diet,lean proteins,anti-inflammatory diet,omega-3-rich fish,578
encephalitis,adequate hydration,anti-inflammatory diet,antioxidant-rich foods,omega-3-rich fish,vitamin b12 foods,220
cyst of the eyelid,anti-inflammatory diet,omega-3-rich fish,vitamin a-rich foods,warm compress supportive diet,zinc-rich foods,162
balanitis,low-sugar diet,probiotics,antifungal diet,vitamin c-rich foods,adequate hydration,69
foreign body in the throat,soft diet,adequate hydration,avoid hard foods,small bites,cool liquids,257
drug abuse (cocaine),nutrient-dense diet,b-vitamin-rich foods,high-protein diet,antioxidant-rich foods,adequate hydration,201
optic neuritis,antioxidant-rich diet,vitamin b12 foods,omega-3-rich fish,vitamin d-rich foods,adequate hydration,509
alcohol withdrawal,thiamine-rich foods,b-vitamin-rich foods,magnesium-rich foods,high-calorie diet,avoid alcohol,27
premature atrial contractions (pacs),low-caffeine diet,magnesium-rich foods,potassium-rich foods,anti-inflammatory diet,adequate hydration,586
hemiplegia,soft diet if dysphagia,high-protein diet,omega-3-rich fish,antioxidant-rich foods,adequate hydration,314
hammer toe,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,adequate hydration,balanced diet,300
open wound of the cheek,soft diet,vitamin c-rich foods,zinc-rich foods,adequate hydration,protein-rich diet,492
joint effusion,anti-inflammatory diet,omega-3-rich fish,vitamin c-rich foods,adequate hydration,low-purine diet if gout,404
open wound of the knee,protein-rich diet,collagen-boosting foods,vitamin c-rich foods,zinc-rich foods,adequate hydration,502
meningioma,anti-inflammatory diet,omega-3-rich fish,antioxidant-rich foods,high-protein diet,adequate hydration,444
brain cancer,anti-inflammatory diet,ketogenic diet consideration,antioxidant-rich foods,omega-3-rich fish,adequate hydration,86
placental abruption,iron-rich foods,folate-rich foods,vitamin c-rich foods,protein-rich diet,adequate hydration,561
seasonal allergies (hay fever),anti-inflammatory diet,omega-3-rich foods,vitamin c-rich foods,quercetin-rich foods,probiotics,640
primary kidney disease,low-protein diet,low-sodium diet,low-potassium diet,low-phosphorus diet,adequate hydration,596
uterine cancer,low-fat diet,high-fiber diet,cruciferous vegetables,antioxidant-rich foods,avoid excess red meat,738
dry eye of unknown cause,omega-3-rich fish,vitamin a-rich foods,adequate hydration,antioxidant-rich foods,avoid alcohol,207
fibrocystic breast disease,low-fat diet,avoid caffeine,high-fiber diet,cruciferous vegetables,vitamin e-rich foods,245
fungal infection of the hair,antifungal diet,low-sugar diet,zinc-rich foods,biotin-rich foods,immune-boosting foods,276
tooth abscess,soft diet,warm saltwater rinse diet,vitamin c-rich foods,zinc-rich foods,immune-boosting foods,711
envenomation from spider or animal bite,adequate hydration,anti-inflammatory diet,vitamin c-rich foods,electrolyte-rich foods,protein-rich diet,226
vacterl syndrome,nutrient-dense diet,folate-rich foods,protein-rich diet,adequate hydration,vitamin d-rich foods,741
vertebrobasilar insufficiency,heart-healthy diet,low-sodium diet,omega-3-rich fish,antioxidant-rich foods,adequate hydration,751
rectal disorder,high-fiber diet,adequate hydration,anti-inflammatory diet,probiotic-rich foods,avoid spicy foods,619
atonic bladder,adequate hydration,high-fiber diet,low-acid foods,avoid bladder irritants,magnesium-rich foods,59
benign paroxysmal positional vertical (bppv),low-sodium diet,adequate hydration,vitamin d-rich foods,avoid caffeine,magnesium-rich foods,72
blepharospasm,magnesium-rich foods,b-vitamin-rich foods,omega-3-rich foods,avoid caffeine,adequate hydration,81
metastatic cancer,high-calorie diet,high-protein diet,small frequent meals,nutrient-dense foods,adequate hydration,448
trigger finger (finger disorder),anti-inflammatory diet,omega-3-rich fish,vitamin c-rich foods,collagen-boosting foods,adequate hydration,724
stye,vitamin a-rich foods,zinc-rich foods,omega-3-rich fish,immune-boosting foods,adequate hydration,679
hemochromatosis,avoid iron-rich foods,avoid vitamin c with meals,tea with meals,low-iron diet,adequate hydration,315
osteochondroma,calcium-rich foods,vitamin d-rich foods,anti-inflammatory diet,protein-rich diet,adequate hydration,516
cushing syndrome,low-sodium diet,low-calorie diet,high-fiber diet,calcium-rich foods,vitamin d-rich foods,161
typhoid fever,typhoid diet,high-calorie diet,soft bland foods,adequate hydration,protein-rich foods,728
vitreous degeneration,antioxidant-rich diet,omega-3-rich fish,vitamin a-rich foods,lutein-rich foods,adequate hydration,759
atrophic skin condition,omega-3-rich foods,vitamin e-rich foods,antioxidant-rich diet,adequate hydration,collagen-boosting foods,62
aspergillosis,immune-boosting foods,antioxidant-rich diet,vitamin c-rich foods,adequate hydration,protein-rich diet,54
uterine atony,iron-rich foods,vitamin c-rich foods,protein-rich diet,folate-rich foods,adequate hydration,737
whooping cough,adequate hydration,warm soups,small frequent meals,vitamin c-rich foods,honey,769
open wound of the lip,soft diet,vitamin c-rich foods,zinc-rich foods,adequate hydration,protein-rich diet,503
subacute thyroiditis,anti-inflammatory diet,selenium-rich foods,iodine-moderate diet,omega-3-rich fish,adequate hydration,680
oral mucosal lesion,soft bland diet,vitamin b12 foods,folate-rich foods,vitamin c-rich foods,avoid acidic foods,511
open wound due to trauma,high-protein diet,vitamin c-rich foods,zinc-rich foods,iron-rich foods,adequate hydration,487
intracerebral hemorrhage,anti-inflammatory diet,low-sodium diet,antioxidant-rich foods,omega-3-rich fish,adequate hydration,393
alzheimer disease,mediterranean diet,omega-3-rich fish,antioxidant-rich foods,leafy green vegetables,blueberries,32
vaginismus,anti-inflammatory diet,magnesium-rich foods,omega-3-rich foods,b-vitamin-rich foods,adequate hydration,744
systemic lupus erythematosis (sle),anti-inflammatory diet,omega-3-rich fish,vitamin d-rich foods,calcium-rich foods,avoid alfalfa,688
premature ovarian failure,calcium-rich foods,vitamin d-rich foods,phytoestrogen foods,omega-3-rich fish,iron-rich foods,587
thoracic outlet syndrome,anti-inflammatory diet,omega-3-rich fish,magnesium-rich foods,antioxidant-rich foods,adequate hydration,699
ganglion cyst,anti-inflammatory diet,omega-3-rich fish,vitamin c-rich foods,adequate hydration,antioxidant-rich foods,281
dislocation of the knee,anti-inflammatory diet,calcium-rich foods,collagen-boosting foods,protein-rich diet,adequate hydration,190
crohn disease,low-residue diet,omega-3-rich fish,avoid trigger foods,high-protein diet,probiotic-rich foods,156
postoperative infection,high-protein diet,vitamin c-rich foods,zinc-rich foods,immune-boosting foods,adequate hydration,582
folate deficiency,folate-rich foods,leafy green vegetables,citrus fruits,fortified cereals,legumes,251
fluid overload,fluid restriction,low-sodium diet,adequate protein,avoid salty snacks,monitor liquid intake,250
atrial flutter,low-sodium diet,potassium-rich foods,magnesium-rich foods,omega-3-rich fish,avoid caffeine,61
skin disorder,anti-inflammatory diet,omega-3-rich foods,vitamin e-rich foods,antioxidant-rich foods,adequate hydration,655
floaters,antioxidant-rich diet,omega-3-rich fish,vitamin a-rich foods,adequate hydration,zinc-rich foods,248
tooth disorder,calcium-rich foods,vitamin d-rich foods,low-sugar diet,phosphorus-rich foods,vitamin c-rich foods,712
open wound of the abdomen,soft diet,high-protein diet,vitamin c-rich foods,zinc-rich foods,adequate hydration,489
fracture of the leg,calcium-rich foods,vitamin d-rich foods,protein-rich diet,vitamin c-rich foods,adequate hydration,266
oral thrush (yeast infection),antifungal diet,low-sugar diet,probiotics,avoid refined carbs,garlic,512
pityriasis rosea,anti-inflammatory diet,omega-3-rich fish,vitamin d-rich foods,antioxidant-rich foods,adequate hydration,559
allergy to animals,anti-inflammatory diet,omega-3-rich foods,vitamin c-rich foods,quercetin-rich foods,probiotics,30
orthostatic hypotension,adequate hydration,high-sodium diet if recommended,small frequent meals,electrolyte-rich foods,avoid alcohol,514
obstructive sleep apnea (osa),weight management diet,low-glycemic diet,anti-inflammatory diet,avoid alcohol,avoid large meals before bed,484
hypokalemia,potassium-rich foods,bananas,leafy greens,avocados,adequate hydration,352
dislocation of the shoulder,anti-inflammatory diet,calcium-rich foods,protein-rich diet,vitamin c-rich foods,adequate hydration,192
intussusception,clear liquid diet initially,low-fiber diet,small frequent meals,adequate hydration,gradual food reintroduction,396
cervicitis,probiotic-rich foods,vitamin c-rich foods,anti-inflammatory diet,zinc-rich foods,adequate hydration,110
abscess of the pharynx,soft bland diet,lukewarm soups,adequate hydration,immune-boosting foods,vitamin c-rich foods,4
primary thrombocythemia,adequate hydration,anti-inflammatory diet,omega-3-rich fish,antioxidant-rich foods,low-fat diet,597
arthritis of the hip,anti-inflammatory diet,omega-3-rich fish,vitamin d-rich foods,calcium-rich foods,fruits and vegetables,51
decubitus ulcer,high-protein diet,vitamin c-rich foods,zinc-rich foods,adequate hydration,antioxidant-rich foods,167
hypernatremia,adequate hydration,low-sodium diet,electrolyte balance,avoid salty foods,regular fluid intake,344
sensorineural hearing loss,folate-rich foods,zinc-rich foods,omega-3-rich fish,antioxidant-rich diet,magnesium-rich foods,644
chronic ulcer,low-acid diet,high-fiber diet,probiotic-rich foods,avoid nsaids foods,adequate hydration,131
ileus,clear liquid diet initially,gradual reintroduction of food,small frequent meals,high-fiber when resolved,adequate hydration,363
sickle cell crisis,adequate hydration,folate-rich foods,iron-rich foods,vitamin c-rich foods,high-calorie diet,651
urethritis,adequate hydration,cranberry products,probiotic-rich foods,vitamin c-rich foods,avoid alcohol,733
prostatitis,anti-inflammatory diet,omega-3-rich fish,adequate hydration,zinc-rich foods,avoid alcohol,600
otitis externa (swimmer's ear),immune-boosting foods,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,520
poisoning due to anticonvulsants,folate-rich foods,calcium-rich foods,vitamin d-rich foods,adequate hydration,balanced diet,568
testicular torsion,anti-inflammatory diet,adequate hydration,high-protein diet,vitamin c-rich foods,balanced diet,696
tricuspid valve disease,low-sodium diet,heart-healthy diet,omega-3-rich fish,fruits and vegetables,adequate hydration,722
urethral stricture,adequate hydration,anti-inflammatory diet,vitamin c-rich foods,avoid bladder irritants,balanced diet,731
vitamin d deficiency,vitamin d-rich foods,fatty fish,fortified dairy,egg yolks,mushrooms (uv-exposed),758
hydatidiform mole,nutrient-dense diet,folate-rich foods,iron-rich foods,adequate hydration,balanced diet,333
pain disorder affecting the neck,anti-inflammatory diet,omega-3-rich fish,magnesium-rich foods,calcium-rich foods,adequate hydration,528
pelvic fistula,high-protein diet,high-fiber diet,adequate hydration,anti-inflammatory diet,zinc-rich foods,538
acute bronchiolitis,adequate hydration,breastfeeding supported,soft bland foods,vitamin c-rich foods,warm fluids,10
insect bite,anti-inflammatory diet,vitamin c-rich foods,quercetin-rich foods,adequate hydration,zinc-rich foods,385
paroxysmal ventricular tachycardia,low-sodium diet,magnesium-rich foods,potassium-rich foods,omega-3-rich fish,avoid caffeine,537
congenital heart defect,heart-healthy diet,low-sodium diet,nutrient-dense foods,adequate hydration,small frequent meals,142
connective tissue disorder,anti-inflammatory diet,omega-3-rich fish,vitamin c-rich foods,collagen-boosting foods,antioxidant-rich foods,148
foreign body in the eye,vitamin a-rich foods,antioxidant-rich diet,adequate hydration,zinc-rich foods,balanced diet,254
poisoning due to gas,adequate hydration,antioxidant-rich foods,vitamin c-rich foods,bland diet,electrolyte-rich foods,574
pyogenic skin infection,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,high-protein diet,adequate hydration,616
endometrial hyperplasia,low-fat diet,high-fiber diet,phytoestrogen foods,antioxidant-rich foods,low-glycemic diet,223
acanthosis nigricans,low-glycemic diet,high-fiber foods,lean proteins,avoid refined carbs,non-starchy vegetables,5
central atherosclerosis,heart-healthy diet,low-saturated fat,omega-3-rich fish,whole grains,fruits and vegetables,104
viral exanthem,adequate hydration,vitamin c-rich foods,immune-boosting foods,soft bland diet,antioxidant-rich foods,753
noninfectious gastroenteritis,bland diet (brat),adequate hydration,probiotics,avoid dairy initially,electrolyte-rich foods,479
benign prostatic hyperplasia (bph),lycopene-rich foods,zinc-rich foods,pumpkin seeds,low-fat diet,avoid caffeine,73
menopause,phytoestrogen-rich foods,calcium-rich foods,vitamin d-rich foods,omega-3-rich fish,avoid excess caffeine,446
primary immunodeficiency,immune-boosting foods,high-protein diet,zinc-rich foods,vitamin c-rich foods,antioxidant-rich diet,594
ovarian cancer,plant-based diet,high-fiber diet,cruciferous vegetables,low-fat diet,antioxidant-rich foods,523
cataract,antioxidant-rich diet,vitamin c-rich foods,vitamin e-rich foods,lutein-rich foods,omega-3-rich fish,101
dislocation of the hip,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,protein-rich diet,adequate hydration,189
spinal stenosis,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,weight management diet,omega-3-rich fish,665
intestinal obstruction,clear liquid diet,gradual food reintroduction,low-fiber diet,small frequent meals,adequate hydration,392
heart contusion,anti-inflammatory diet,omega-3-rich fish,antioxidant-rich foods,adequate hydration,low-sodium diet,307
congenital malformation syndrome,nutrient-dense diet,folate-rich foods,protein-rich diet,vitamin d-rich foods,adequate hydration,143
sporotrichosis,immune-boosting foods,antifungal diet,vitamin c-rich foods,zinc-rich foods,adequate hydration,671
lymphangitis,immune-boosting foods,vitamin c-rich foods,adequate hydration,anti-inflammatory diet,protein-rich diet,429
wernicke korsakoff syndrome,thiamine-rich foods,b-vitamin-rich foods,high-protein diet,avoid alcohol,nutrient-dense foods,767
intestinal disease,high-fiber diet,probiotic-rich foods,anti-inflammatory diet,adequate hydration,low-fat diet,390
acute bronchitis,adequate hydration,warm soups and broths,vitamin c-rich foods,honey and ginger,anti-inflammatory foods,11
persistent vomiting of unknown cause,small frequent meals,ginger tea,bland diet,adequate hydration,electrolyte-rich foods,549
open wound of the foot,protein-rich diet,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,498
myocarditis,low-sodium diet,heart-healthy diet,anti-inflammatory diet,omega-3-rich fish,avoid alcohol,465
ischemic heart disease,heart-healthy diet,low-saturated fat,omega-3-rich fish,whole grains,fruits and vegetables,401
neurofibromatosis,antioxidant-rich diet,anti-inflammatory diet,vitamin d-rich foods,omega-3-rich fish,adequate hydration,475
pancreatic cancer,small frequent meals,low-fat diet,high-protein diet,pancreatic enzyme supplements,adequate hydration,529
neuropathy due to drugs,vitamin b12 foods,omega-3-rich fish,anti-inflammatory diet,antioxidant-rich foods,adequate hydration,476
croup,adequate hydration,warm fluids,soft foods,vitamin c-rich foods,immune-boosting foods,157
idiopathic excessive menstruation,iron-rich foods,vitamin c-rich foods,folate-rich foods,vitamin k-rich foods,anti-inflammatory diet,358
meckel diverticulum,high-fiber diet,adequate hydration,iron-rich foods,anti-inflammatory diet,balanced diet,441
dislocation of the wrist,anti-inflammatory diet,calcium-rich foods,vitamin c-rich foods,collagen-boosting foods,adequate hydration,194
ear drum damage,vitamin c-rich foods,zinc-rich foods,omega-3-rich fish,anti-inflammatory diet,adequate hydration,211
erectile dysfunction,mediterranean diet,nitric oxide-boosting foods,omega-3-rich fish,zinc-rich foods,dark leafy greens,231
temporary or benign blood in urine,adequate hydration,low-oxalate diet,cranberry products,vitamin c-rich foods,avoid bladder irritants,690
kidney disease due to longstanding hypertension,low-protein diet,low-sodium diet,low-potassium diet,low-phosphorus diet,adequate hydration,408
chondromalacia of the patella,anti-inflammatory diet,omega-3-rich fish,vitamin c-rich foods,collagen-boosting foods,calcium-rich foods,117
onychomycosis,antifungal diet,low-sugar diet,probiotics,biotin-rich foods,zinc-rich foods,486
urethral disorder,adequate hydration,avoid bladder irritants,cranberry products,probiotic-rich foods,anti-inflammatory diet,730
acute respiratory distress syndrome (ards),high-calorie diet,high-protein diet,omega-3-rich foods,antioxidant-rich foods,adequate hydration,18
toxic multinodular goiter,avoid excess iodine,selenium-rich foods,anti-inflammatory diet,calcium-rich foods,adequate hydration,715
